Historique;Date
BBFL 10'-0 x 24 x 30D 20T 0c0cSL,EXT8,CLÉ,3CD,VIB;09-01-25
BBFL 10'-0 x 24 x 30D 20T 0c0cSL,EXT8,CLÉ,3CD,VIB;09-01-25
BBFL 10'-0 x 24 x 30D 20T 0c0cSL,EXT8,CLÉ,3CD,VIB;09-01-25
BBFL 10'-0 x 24 x 30D 20T 0c0cSL,EXT8,CLÉ,3CD,VIB;09-01-25
BMT-S 17'-6 x 60 x 62I 40T 4Tsp,L96,SC01,CC,MI,P2C,CLÉ,1CD,FEIN;09-01-25
BMT-S 17'-0 x 48 x 54I 40T DRV,B45,MI,CLÉ,3CD;08-01-25
BMT-S 17'-0 x 54 x 60D 40T POC,2T,MI,CLÉ,3CD(G)(G)(G);08-01-25
BMT-S 17'-6 x 54 x 60I 40T DRV,PHL,2T,MI,CLÉ,3CD;08-01-25
BMT-S 17'-6 x 54 x 60I 40T DRV,PHL,2T,MI,CLÉ,3CD;08-01-25
BMT-S 18'-0 x 54 x 60I 40T DRV,PHL,B45,2T,MI,CLÉ,3CD;08-01-25
BMT-S 18'-0 x 60 x 66I 40T DRV,PHL,B45,2T,MI,CLÉ,3CD;08-01-25
BMT-S 14'-0 x 54 x 60I 30T S3/8,2T,CLÉ,LF 3/8;07-01-25
BMT-S 16'-0 x 60 x 66I 40T CODR18,DRV,SC01,PHL,3T,MI,CLÉ,3CD,FEIN;07-01-25
BMT-S 18'-6 x 6048 x 54I 40T DRV,PHL,B45,2T,0MI,VIB;07-01-25
BMT-S 19'-0 x 6048 x 54I 40T DRV,PHL,B45,2T,0MI,VIB;07-01-25
BMT-S 19'-0 x 6654 x 60I 40T DRV,PHL,B45,2T,0MI,CLÉ,1CD,VIB;07-01-25
BFL-S 19'-0 x 6048 x 54I 40T PHL,B45,2T,0MI;07-01-25
BFL-S 19'-0 x 6048 x 54I 40T DRV,PHL,B45,2T,0MI,VIB;07-01-25
BFL-S 19'-6 x 6048 x 54I 40T DRV,PHL,B45,2T,0MI,VIB;07-01-25
EL-250 19'-6 x 66 x 68D 40T F3/8,POCP,B45,2T,MI,P2C,CLÉà20,1CD;06-01-25
BFL-S 14'-6 x 48 x 60D 00 SANS MAIN,SOB,POC,2T,T-R,NTRA,NPAC,CC,MI,E1,P1,CLÉà14½;06-01-25
BFL-S 19'-0 x 54 x 60D 40T DRV,POCP,B45,2T,MI,P2C,1CD;06-01-25
BFL-S 19'-0 x 54 x 60D 40T DRV,POCP,B45,2T,MI,P2C,1CD;06-01-25
BFL-S 19'-6 x 54 x 60I 40T DPL,B45,2T,MI,P2C;06-01-25
MS-HD 12'-0 x 30 x 42D 20T POCP,2T,MI;06-01-25
BMT-S 15'-0 x 48 x 54I 40T DEV&M40,DRV,PHL,2T,MI,CLÉ,3CD;05-01-25
BMT-S 18'-6 x 54 x 60I 40T DRV,B45,2T,MI,CLÉ,3CD;05-01-25
BMT-S 18'-6 x 54 x 60I 40T DRV,B45,2T,MI,CLÉ,3CD;05-01-25
REM-BMT 27'-0 x 60 x 66D 0T PHL,B45,E1,0c0c,BGR,SANS B-A10;05-01-25
BMT-S 18'-0 x 60 x 66I 40T DRV,PHL,B45,2T,MI,CLÉ,3CD;04-01-25
REM-BMT 27'-0 x 60 x 66D 0T PHL,B45,E1,0c0c,BGR,SANS B-A10;04-01-25
BFL-S 20'-6 x 48 x 60I 50T SOH,TRTA à 127,MI,E1à13,P1;04-01-25
BFL-S 21'-0 x 48 x 51I 50T SOH,TRTA à 132,MI,E1à13,P1;04-01-25
BFL-S 21'-0 x 48 x 60I 50T SOH,TRTA à 131,MI,E1à13,P1;04-01-25
BFL-S 21'-0 x 48 x 60I 50T SOH,TRTA à 131,MI,E1à13,P1;04-01-25
BFL-S 17'-6 x 60 x 66I 40T L96,SC01,S1/4,3T0TC,MI,0c0cSL,P2C,CLÉà10;03-01-25
BFL-S 17'-6 x 60 x 66I 40T L96,SC01,S1/4,3T0TC,MI,0c0cSL,P2C,CLÉà10;03-01-25
BFL-S 17'-6 x 60 x 66I 40T L96,SC01,S1/4,3T0TC,MI,0c0cSL,P2C,CLÉà10;03-01-25
BMT-S 17'-6 x 60 x 66I 40T SC01,F3/8,S3/8,D1/4,C 1/4,PHL,3T0TC,MI,0c0cSL,P2C,CLÉà10,1CD;03-01-25
BMT-S 17'-6 x 54 x 60D 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,2T,MI,CLÉ;03-01-25
BMT-S 17'-6 x 54 x 60D 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,2T,MI,CLÉ;03-01-25
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,NTRA,NPAC,CC,MI,E1,P1,SC09,CLÉà7;02-01-25
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,NTRA,NPAC,CC,MI,E1,P1,SC09,CLÉà7;02-01-25
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,NTRA,NPAC,CC,MI,E1,P1,SC09,CLÉà7;02-01-25
BFL-S 17'-6 x 60 x 66I 40T L96,SC01,S1/4,3T0TC,MI,0c0cSL,P2C,CLÉ;02-01-25
BFL-S 16'-0 x 42 x 60D 0T ;01-01-25
EL-250 19'-6 x 6048 x 54I 40T DRV,PHL,B45,2T,0MI,CLÉ;01-01-25
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;01-01-25
BMT-S 17'-0 x 48 x 54D 00 ROLL-OFF,0T0TC,MI,ROFFROL;01-01-25
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BFL-S 20'-6 x 48 x 60I 50T SOH,2T,T-R,CC,MI,E1,P1,SC09,CLÉà7;30-04-99
BMT-S 18'-0 x 54 x 60I 50T DPL,DEV4OT&M5OT,SC01,F3/8,S3/8,D1/4,C 1/4,PHL,MI,CLÉ,VIB;29-04-99
BMT-S 18'-0 x 54 x 60D 40T SC01,F3/8,S3/8,POC,2T,MI,CLÉ,1CD,FEIN;29-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;29-04-99
EL-188 15'-0 x 36 x 48D 30T DPL,CAL,PRS,PHL,2T,CC,MI,4CLÉ;29-04-99
